publish_date,media_name,title,url,date,year,month,year_month,week,title_clean
2026-02-07,usatoday.com,Polar vortex cold highlights climate change questions,https://www.usatoday.com/story/news/nation/2026/02/07/polar-vortex-cold-highlights-climate-change-questions/88526594007/,2026-02-07,2026,2,2026-02,2026-02-02/2026-02-08,Polar vortex cold highlights climate change questions
2026-02-07,livescience.com,Clean energy is surging — with or without Trump,https://www.livescience.com/planet-earth/renewable-energy/clean-energy-is-surging-with-or-without-trump,2026-02-07,2026,2,2026-02,2026-02-02/2026-02-08,Clean energy is surging — with or without Trump
2026-02-06,bloomberg.com,Why Some Republicans Voted for More Carbon Emissions Tracking,https://www.bloomberg.com/news/articles/2026-02-06/energy-department-will-start-counting-carbon-emissions-of-steel-cement,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,Why Some Republicans Voted for More Carbon Emissions Tracking
2026-02-06,latimes.com,How climate change is threatening the future of the Winter Olympics,https://www.latimes.com/sports/olympics/story/2026-02-06/climate-change-is-threatening-winter-olympics-games,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,How climate change is threatening the future of the Winter Olympics
2026-02-06,latimes.com,"Letters to the Editor: Climate change easily slides into the background, but it’s our gravest threat",https://www.latimes.com/opinion/letters-to-the-editor/story/2026-02-06/climate-change-alarmism-politics,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,"Letters to the Editor: Climate change easily slides into the background, but it’s our gravest threat"
2026-02-06,gazettenet.com,"‘Beyond the traditional scope’ of theater: Double Edge in Ashfield plans for busy year with shows, community engagement",https://gazettenet.com/2026/02/06/beyond-the-traditional-scope-of-theater-double-edge-in-ashfield-plans-for-busy-year-with-shows-community-engagement/,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,"‘Beyond the traditional scope’ of theater: Double Edge in Ashfield plans for busy year with shows, community engagement"
2026-02-06,oregonlive.com,How climate change is threatening the future of the Winter Olympics,https://www.oregonlive.com/nation/2026/02/how-climate-change-is-threatening-the-future-of-the-winter-olympics.html,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,How climate change is threatening the future of the Winter Olympics
2026-02-06,recorder.com,More than carbon sticks: Didi Pershouse urges a systems view of Forests and Farms,https://recorder.com/2026/02/06/more-than-carbon-sticks-didi-pershouse-urges-a-systems-view-of-forests-and-farms/,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,More than carbon sticks: Didi Pershouse urges a systems view of Forests and Farms
2026-02-06,recorder.com,"Beyond the traditional scope' of theater: Double Edge in Ashfield plans for busy year with shows, community engagement",https://recorder.com/2026/02/06/beyond-the-traditional-scope-of-theater-double-edge-in-ashfield-plans-for-busy-year-with-shows-community-engagement/,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,"Beyond the traditional scope' of theater: Double Edge in Ashfield plans for busy year with shows, community engagement"
2026-02-06,benzinga.com,TELUS achieves its 100% renewable and low-emitting electricity target,https://www.benzinga.com/pressreleases/26/02/n50443067/telus-achieves-its-100-renewable-and-low-emitting-electricity-target?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-06,2026,2,2026-02,2026-02-02/2026-02-08,TELUS achieves its 100% renewable and low-emitting electricity target
2026-02-05,cbsnews.com,Climate change moving Tornado Alley into the Midwest,https://www.cbsnews.com/chicago/video/climate-change-moving-tornado-alley-into-the-midwest/,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Climate change moving Tornado Alley into the Midwest
2026-02-05,cbsnews.com,Carbon monoxide incident in Queens sends 20 to hospital,https://www.cbsnews.com/newyork/video/carbon-monoxide-incident-in-queens-sends-20-to-hospital/,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Carbon monoxide incident in Queens sends 20 to hospital
2026-02-05,benzinga.com,EIB Invests €24 Million in TWAICE to Accelerate the Energy Transition with Predictive Battery Analytics,https://www.benzinga.com/pressreleases/26/02/g50410181/eib-invests-24-million-in-twaice-to-accelerate-the-energy-transition-with-predictive-battery-analy?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,EIB Invests €24 Million in TWAICE to Accelerate the Energy Transition with Predictive Battery Analytics
2026-02-05,latimes.com,California bill would make fossil fuel companies help pay for rising insurance costs,https://www.latimes.com/business/story/2026-02-05/california-bill-would-make-fossil-fuel-companies-help-pay-for-rising-insurance-costs,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,California bill would make fossil fuel companies help pay for rising insurance costs
2026-02-05,benzinga.com,Deep Sky Welcomes Quebec's New Bill Creating a Legal Framework for Carbon Storage in Quebec,https://www.benzinga.com/pressreleases/26/02/n50433407/deep-sky-welcomes-quebecs-new-bill-creating-a-legal-framework-for-carbon-storage-in-quebec?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Deep Sky Welcomes Quebec's New Bill Creating a Legal Framework for Carbon Storage in Quebec
2026-02-05,theconversation.com,"As the climate changes, what does the future hold for the Winter Olympic and Paralympic Games?",https://theconversation.com/as-the-climate-changes-what-does-the-future-hold-for-the-winter-olympic-and-paralympic-games-274921,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,"As the climate changes, what does the future hold for the Winter Olympic and Paralympic Games?"
2026-02-05,townhall.com,Here's How Much Bernie Sanders Spent on Private Jets While Fighting Climate Change,https://townhall.com/tipsheet/amy-curtis/2026/02/05/sanders-private-jet-n2670724,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Here's How Much Bernie Sanders Spent on Private Jets While Fighting Climate Change
2026-02-05,centralmaine.com,Maine copy of the Declaration of Independence to tour state,https://www.centralmaine.com/2026/02/05/maine-copy-of-the-declaration-of-independence-to-tour-state/,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Maine copy of the Declaration of Independence to tour state
2026-02-05,benzinga.com,"More New CA Oil Drilling Permits Approved in January Than All Of 2025 As Path to Clean Energy Faces Mounting State, Industry, and Federal Threats, Watchdogs Warn",https://www.benzinga.com/pressreleases/26/02/n50423102/more-new-ca-oil-drilling-permits-approved-in-january-than-all-of-2025-as-path-to-clean-energy-face?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,"More New CA Oil Drilling Permits Approved in January Than All Of 2025 As Path to Clean Energy Faces Mounting State, Industry, and Federal Threats, Watchdogs Warn"
